SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
1710.0,2.0,1.0,Suburb,2016.0,266300
3210.0,5.0,4.0,Urban,2002.0,564200
2122.0,3.0,3.0,Suburb,2001.0,310500
2679.0,3.0,3.0,Rural,2001.0,387100
2335.0,3.0,2.0,Urban,1981.0,408500
3864.0,6.0,4.0,Suburb ,1993.0,585000
2423.0,4.0,2.0,Urban,1952.0,375900
1719.0,4.0,3.0,Rural,2008.0,309400
2699.0,4.0,4.0,Rural,1986.0,430700
813.0,2.0,2.0,Suburb,1976.0,152900
1272.0,2.0,1.0,Suburb,1981.0,222700
4085.0,6.0,5.0,Suburb,1997.0,616400
700.0,1.0,1.0,Rural,2010.0,110300
3589.0,5.0,4.0,Rural,1999.0,589100
1989.0,3.0,3.0,Urban,1981.0,353600
3882.0,6.0,4.0,Urban,1996.0,684700
2101.0,3.0,3.0,Rural,2000.0,324700
1920.0,2.0,2.0,Suburb,1996.0,311600
3330.0,6.0,5.0,Suburb,1979.0,504700
2949.0,4.0,3.0,Suburb,1985.0,464400
3914.0,5.0,5.0,Suburb,2008.0,598300
734.0,1.0,1.0,Urban,1981.0,189000
2360.0,4.0,3.0,Suburb,2004.0,377900
3146.0,5.0,4.0,Rural,2015.0,475300
2498.0,4.0,3.0,Suburb,2009.0,383200
1043.0,1.0,1.0,Suburb,2009.0,200800
2217.0,4.0,3.0,Suburb,2013.0,340100
3524.0,6.0,3.0,Rural,1952.0,490800
2906.0,6.0,4.0,Suburb,2014.0,445400
1594.0,3.0,2.0,Rural,1980.0,213800
3031.0,6.0,5.0,Rural,1972.0,466200
1895.0,3.0,2.0,Rural,2011.0,279600
1964.0,3.0,2.0,Suburb,1990.0,330300
3797.0,6.0,4.0,Suburb,1978.0,561400
2544.0,4.0,3.0,Urban,1962.0,438500
3224.0,5.0,3.0,Urban,2020.0,518800
3484.0,5.0,5.0,Urban,2008.0,567100
3833.0,6.0,5.0,Urban,1979.0,613600
4128.0,6.0,4.0,Rural,1971.0,559000
1567.0,2.0,2.0,Suburb,2018.0,219200
3503.0,5.0,3.0,Rural,1988.0,503000
3738.0,5.0,3.0,Suburb,2008.0,558500
3962.0,6.0,5.0,Suburb,1991.0,614600
2893.0,5.0,4.0,Suburb,1981.0,447200
3063.0,6.0,5.0,Suburb,1976.0,510400
1416.0,2.0,2.0,Suburb,1954.0,240600
2554.0,5.0,4.0,Suburb,1969.0,409600
2993.0,5.0,4.0,Suburb ,1970.0,514200
2484.0,4.0,3.0,Suburb,1987.0,395500
1795.0,2.0,1.0,Suburb,1966.0,268100
1054.0,1.0,1.0,Suburb,1973.0,190700
1646.0,2.0,1.0,Suburb,1969.0,284900
3331.0,5.0,4.0,Suburb,1989.0,516800
3552.0,6.0,4.0,Rural,1981.0,517200
3544.0,5.0,4.0,Suburb,1975.0,509700
4122.0,5.0,4.0,Urban,1993.0,654100
3174.0,5.0,4.0,Urban,2005.0,571600
3757.0,6.0,4.0,Urban,1979.0,629000
2124.0,3.0,3.0,Suburb,2019.0,354800
2535.0,4.0,4.0,Suburb,2012.0,401200
927.0,2.0,1.0,Urban,2017.0,182200
3693.0,5.0,4.0,Urban,2002.0,543800
1819.0,2.0,2.0,Rural,1969.0,238900
2699.0,5.0,4.0,Urban,2004.0,501400
3443.0,5.0,5.0,Suburb,2008.0,589400
2130.0,3.0,2.0,Rural,2013.0,306300
923.0,2.0,2.0,Suburb,1993.0,173200
3517.0,6.0,4.0,Rural,1970.0,534100
3592.0,5.0,4.0,Urban,2011.0,588000
2049.0,3.0,3.0,Rural,1977.0,285600
4023.0,6.0,5.0,Suburb,1995.0,570500
2510.0,5.0,2.0,Suburb,1981.0,414200
1051.0,1.0,1.0,Suburb,2008.0,181100
2990.0,5.0,3.0,Suburb,1967.0,459600
1329.0,2.0,2.0,Suburb,1971.0,190800
1373.0,3.0,2.0,Suburb,1954.0,225400
3428.0,5.0,4.0,,1981.0,535300
3640.0,6.0,4.0,Rural,1990.0,551400
1291.0,3.0,2.0,Suburb,2003.0,192700
3571.0,5.0,4.0,Urban,1994.0,589000
2473.0,2.0,1.0,Rural,1986.0,368600
2102.0,,2.0,Suburb,1991.0,337700
2833.0,4.0,2.0,Suburb,1969.0,357700
1898.0,4.0,3.0,Urban,1966.0,390400
3179.0,4.0,3.0,Suburb,1989.0,463500
3661.0,6.0,4.0,Suburb,2014.0,561300
4141.0,6.0,5.0,Suburb,1989.0,617900
1559.0,2.0,2.0,Suburb,1970.0,227000
1443.0,4.0,3.0,Rural,1987.0,229700
1639.0,3.0,2.0,Rural,1963.0,251700
1966.0,2.0,2.0,Suburb,1987.0,303200
1159.0,1.0,1.0,Rural,2009.0,194900
3853.0,6.0,5.0,Suburb,1973.0,579300
2924.0,5.0,4.0,Urban,2017.0,523500
